question_id,answer,grade
6,زوجة الرسول الكريم.,1
6,خديجة بنت خويلد.,2
6, زوجة النبي.,1
6,المرأة الأولى التي أسلمت هي خديجة بنت خويلد.,2
6,خديجة الكبرى هي أول امرأة آمنت بالنبي محمد صلى الله عليه وسلم.,2
6,أول امرأة أسلمت كانت خديجة بنت خويلد (رضي الله عنها).,2
6,أول من آمنت برسالة النبي محمد هي خديجة بنت خويلد.,2
6,الأمرأة الأولى التي أسلمت هي خديجة بنت خويلد (رضي الله عنها).,2
6,خديجة بنت خويلد هي المرأة الأولى التي أعلنت إسلامها (رضي الله عنها).,2
6,خديجة بنت خويلد هي أول امرأة أعلنت إسلامها.,2
6,السيدة الأعظم في التاريخ الإسلامي.,1
6,السيدة الكريمة في الإسلام.,1
6,زوجة النبي الأولى.,1
6,خديجة رضي الله عنها هي أول امرأة أعلنت إسلامها.,2
6,أول امرأة أسلمت هي السيدة خديجة بنت خويلد.,2
6,أم المؤمنين الأولى.,1
6,خديجة بنت خويلد هي الشخصية الأولى التي أعتنقت الإسلام.,2
6,أول امرأة أعلنت إسلامها كانت خديجة بنت خويلد (رضي الله عنها).,2
6,آمنة بنت وهب.,0
6,أم المؤمنين .,1
6,خديجة بنت خويلد رضي الله عنها).,2
6,خديجة بنت خويلد رضي الله عنها هي أول من أسلمت.,2
6,السيدة الأولى.,1
6,أم سلمة -رضي الله عنها-,0
6,أول امرأة أسلمت هي بنت خويلد بن أسد.,1
6,خديجة الصديقة هي أول امرأة أسلمت.,2
6,الأمرأة الأولى التي أعلنت إسلامها  مريم.,0
6,أم الأئمة خديجة بنت خويلد.,1
6,بنت خويلد بن أسد.,1
6,مريم بنت عمران.,0
6,عائشة بنت أبو بكر.,0
6,النساء الأولى التي أسلمت هي خديجة بنت خويلد.,2
6,أول امرأة تعتنق الإسلام كانت خديجة رضي الله عنها.,2
6,جويريّة بنت الحارث -رضي الله عنها-,0
6,خديجة (رضي الله عنها) أول امرأة أسلمت.,2
6,أم المؤمنين رضي الله عنها.,1
6,أول امرأة أعلنت إسلامها كانت خديجة بنت خويلد.,2
6,الزوجة الأكبرى للرسول.,1
6,الزوجة الأولى للنبي محمد (صلى الله عليه وسلم).,1
6,أول من أعتنق الإسلام كانت خديجة زوجة النبي.,2
6,خديجة زوجة النبي هي المسلمة الأولى.,2
6,عائشة -رضي الله عنها-,0
6,زوجة النبي الأكبر.,1
6,حفصة -رضي الله عنها-,0
6,زوجة النبي الكبرى في الإسلام.,1
6,خديجة.,2
6,خديجة بنت خويلد هي المؤمنة الأولى وزوجة النبي صلى الله عليه وسلم.,2
6,المرأة الأولى التي أعلنت إسلامها بعد النبي هي خديجة (رضي الله عنها).,2
6,فاطمة بنت محمد.,0
6,زينب -رضي الله عنها-,0
6,أول امرأة أسلمت هي زوجة النبي خديجة بنت خويلد.,2
6,زوجة النبي الأعظم.,1
6,خديجة بنت خويلد هي السيدة الأولى التي أعلنت إسلامها.,2
6,ميمونة -رضي الله عنها-,0
6,جويريّة -رضي الله عنها-,0
6,عائشة بنت أبي بكر الصديق -رضي الله عنها-,0
6,فاطمة بنت أبي بكر.,0
6,زينب بنت جحش -رضي الله عنها-,0
6,أم المؤمنين الأكبرى.,1
6,خديجة زوجة النبي هي أول من أسلمت.,2
6,أول امرأة أسلمت هي بنت خويلد.,1
6,زوجة الرسول (صلى الله عليه وسلم) الأولى.,1
6,زوجة النبي الكريمة.,1
6,زوجة الرسول الكبيرة.,1
6,الزوجة الأولى للنبي (صلى الله عليه وسلم).,1
6,زوجة الرسول أم المؤمنين.,1
6,أم حبيبة -رضي الله عنها-,0
6,سودة -رضي الله عنها-,0
6,زهراء بنت محمد.,0
6,السيدة الأولى في الإسلام.,1
6,أول امرأة أسلمت هي خديجة.,2
6,أول امرأة أسلمت هي زوجة الرسول.,1
6,فاطمة بنت علي.,0
6,سلمى بنت أبي طالب.,0
6,أم المؤمنين الأولى.,1
6,صفيّة -رضي الله عنها-,0
6,خديجة بنت خويلد رضي الله عنها.,2
6,خديجة زوجة النبي,2
6,ميمونة بنت الحارث -رضي الله عنها-,0
6,حفصة بنت عمر بن الخطاب -رضي الله عنها-,0
6,أول امرأة آمنت بالنبي محمد هي خديجة رضي الله عنها.,2
6,أسماء بنت أبي بكر.,0
6,أول امرأة أسلمت هي زوجة النبي خديجة.,2
6,خديجة رضي الله عنها.,2
6,خديجة أمّ المؤمنين,2
6,خديجة (رضي الله عنها).,2
6,سومية -رضي الله عنها-,0
6,أول امرأة أسلمت هي زوجة الرسول خديجة.,2
6,أم الأئمة الكريمة.,1
6,أم المؤمنين الكبرى.,1
6,صفيّة بنت حُيَيّ -رضي الله عنها-,0
6,خديجة بنت خويلد (رضي الله عنها).,2
6,خديجة بنت خويلد رضي الله عنها هي المسلمة الأولى.,2
6,أم الأئمة.,1
6,زوجة النبي (صلى الله عليه وسلم) الأولى.,1
6,زينب بنت خزيمة -رضي الله عنها-,0
6,أم المؤمنين,1
6, بنت خويلد.,1
6,أول امرأة قبلت الإسلام كانت خديجة بنت خويلد رضي الله عنها.,2
6,سودة بنت زمعة -رضي الله عنها-,0
